sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;qt_votos_nom_validos;qt_votos_concorrentes
MA;7;Deputado Estadual;35258;GEORGE DA SILVA COSTA;GEORGE DA SILVA;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689733;Válido;2040602022;169;3701453
MA;7;Deputado Estadual;51001;JOSE ADRIANO VAZ DA SILVA;ADRIANO VAZ;PATRIOTA;PATRIOTA;1;Suplente;2022-10-03 03:11:03;MA;100001608133;Válido;2040602022;169;3701453
MA;7;Deputado Estadual;50555;JOSE MAGUINO CUTRIM;MAGUINO CUTRIM;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001725387;Válido;2040602022;167;3701453
MA;7;Deputado Estadual;19234;CARLOS CESAR FREITAS;SGT CÉSAR O AMIGÃO;PODE;PODE;1;Suplente;2022-10-03 03:11:03;MA;100001614799;Válido;2040602022;166;3701453
MA;7;Deputado Estadual;50999;ARNALDO RODRIGUES DOS REIS;PROF ARNALDO RODRIGUES;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713952;Válido;2040602022;165;3701453
MA;7;Deputado Estadual;23001;LUIS CARLOS CHAVES LIMA;LUIS CARLOS CIDADANIA COLETIVA;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619969;Válido;2040602022;162;3701453
MA;7;Deputado Estadual;51221;EDILENE DA SILVA FREITAS;HILDES FREITAS;PATRIOTA;PATRIOTA;1;Suplente;2022-10-03 03:11:03;MA;100001608108;Válido;2040602022;158;3701453
MA;7;Deputado Estadual;28133;FLORENCIO ELEOTERIO FERREIRA NETO;FLOFLO;PRTB;PRTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001675675;Válido;2040602022;158;3701453
MA;7;Deputado Estadual;23600;MARIA ALICE DA SILVA PEREIRA;MARIA ALICE;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001732265;Válido;2040602022;158;3701453
MA;7;Deputado Estadual;23024;LENICE ALVES DOS SANTOS;LENICE ALVES;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001732264;Válido;2040602022;158;3701453
MA;7;Deputado Estadual;27373;SILVIA LIMA FERREIRA;SILVIA LIMA;DC;DC;1;Não Eleito;2022-10-03 03:11:03;MA;100001723192;Válido;2040602022;156;3701453
MA;7;Deputado Estadual;27444;JOÃO RODRIGUES BITTENCOURT JUNIOR;RODRIGO;DC;DC;1;Não Eleito;2022-10-03 03:11:03;MA;100001723186;Válido;2040602022;156;3701453
MA;7;Deputado Estadual;12077;CLEONICE DUTRA GONCALVES;CLEONICE GONÇALVES;PDT;PDT;1;Suplente;2022-10-03 03:11:03;MA;100001599589;Válido;2040602022;154;3701453
MA;7;Deputado Estadual;13777;REGINA LINS ROCHA DA SILVA;REGINA LINS DA MUNDIAL;PT;PT / PV / PC do B;1;Suplente;2022-10-03 03:11:03;MA;100001613725;Válido;2040602022;152;3701453
MA;7;Deputado Estadual;35110;EMÍLIA ROSA FIGUEIREDO BARROS;EMÍLIA BARROS;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689731;Válido;2040602022;152;3701453
MA;7;Deputado Estadual;14000;JORIM WANDERLEY ITHAMAR;JORIM FILHO;PTB;PTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001648821;Válido;2040602022;150;3701453
MA;7;Deputado Estadual;90345;JOÃO RONALDO DE SOUZA MENDES;SARGENTO MENDES ;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599567;Válido;2040602022;148;3701453
MA;7;Deputado Estadual;19200;ORLANDO VELOSO DOS SANTOS;NED LEÃO;PODE;PODE;1;Suplente;2022-10-03 03:11:03;MA;100001614797;Válido;2040602022;146;3701453
MA;7;Deputado Estadual;45184;SILVIA MARIA CARVALHO;SILVIA CARVALHO;PSDB;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619959;Válido;2040602022;146;3701453
MA;7;Deputado Estadual;20380;JARSON MOREIRA LIMA;JARSON ROCK;PSC;PSC;1;Suplente;2022-10-03 03:11:03;MA;100001620082;Válido;2040602022;143;3701453
MA;7;Deputado Estadual;23007;VALDENIR ARAÚJO LIMA;LIMA;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619961;Válido;2040602022;143;3701453
MA;7;Deputado Estadual;90366;ANDRIELE SOARES VIEGAS;ANDRIELE VIEGAS;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599555;Válido;2040602022;140;3701453
MA;7;Deputado Estadual;11026;GEISA LOURDES MIRANDA DOS SANTOS;GEISA MIRANDA;PP;PP;1;Suplente;2022-10-03 03:11:03;MA;100001608094;Válido;2040602022;139;3701453
MA;7;Deputado Estadual;50400;JOAQUIM VIANA NETO;JOAQUIM VIANA;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713943;Válido;2040602022;138;3701453
MA;7;Deputado Estadual;22238;ANTONIO VIEIRA FILHO;VIEIRINHA;PL;PL;1;Suplente;2022-10-03 03:11:03;MA;100001603183;Válido;2040602022;138;3701453
MA;7;Deputado Estadual;28777;ALLYSON BRUNO LICAR;BRUNO LICAR;PRTB;PRTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001675670;Válido;2040602022;136;3701453
MA;7;Deputado Estadual;18018;ELANY ROSA DE ASSIS;ELANY ROSA TENTEHAR;REDE;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713955;Válido;2040602022;136;3701453
MA;7;Deputado Estadual;12037;MARCELA DE SOUSA ARAUJO;MAH ARAUJO;PDT;PDT;1;Suplente;2022-10-03 03:11:03;MA;100001599587;Válido;2040602022;135;3701453
MA;7;Deputado Estadual;15987;SAMANTHA ALVES PAURA;SAMANTHA COSTA;MDB;MDB;1;Suplente;2022-10-03 03:11:03;MA;100001723014;Válido;2040602022;133;3701453
MA;7;Deputado Estadual;40048;CRISTYANE SOUSA SILVA;CRIS DO PRIMAVERA;PSB;PSB;1;Suplente;2022-10-03 03:11:03;MA;100001607061;Válido;2040602022;133;3701453
MA;7;Deputado Estadual;27124;REGINALDO FERREIRA;REGINALDO FERREIRA;DC;DC;1;Não Eleito;2022-10-03 03:11:03;MA;100001723208;Válido;2040602022;130;3701453
MA;7;Deputado Estadual;35114;JOSE DE JESUS VIEIRA DIAS;JESUS VIEIRA;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689719;Válido;2040602022;130;3701453
MA;7;Deputado Estadual;55780;ISRAEL DE OLIVEIRA CARVALHO;ISRAEL CARVALHO;PSD;PSD;1;Suplente;2022-10-03 03:11:03;MA;100001607123;Válido;2040602022;128;3701453
MA;7;Deputado Estadual;90013;JOÃO BOSCO COSTA SILVA;BOSQUINHO;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599556;Válido;2040602022;127;3701453
MA;7;Deputado Estadual;35333;CELSO HENRIQUE ROCHA DA SILVA;CELSO SILVA;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689723;Válido;2040602022;127;3701453
MA;7;Deputado Estadual;23233;FLAVIANA ROCHA DA SILVA;FLÁVIA SILVA;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619960;Válido;2040602022;126;3701453
MA;7;Deputado Estadual;51776;FRANCISCA MARCIA DA CONCEIÇÃO;MARCIA CARVALHO;PATRIOTA;PATRIOTA;1;Suplente;2022-10-03 03:11:03;MA;100001608116;Válido;2040602022;125;3701453
MA;7;Deputado Estadual;20700;IVONALDO RODRIGUES GUIMARAES;IVONALDO GUIMARAES;PSC;PSC;1;Suplente;2022-10-03 03:11:03;MA;100001620081;Válido;2040602022;125;3701453
MA;7;Deputado Estadual;23221;FRANCISCO CARLOS SERRA SILVA;CHICO NOEL;CIDADANIA;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619967;Válido;2040602022;124;3701453
MA;7;Deputado Estadual;28100;FRANCISCA WELANE GOMES LOPES;FRANCISCA COLETIVO TODOSJUNTOS;PRTB;PRTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001675691;Válido;2040602022;122;3701453
MA;7;Deputado Estadual;14140;LUIS ALVES DOS SANTOS;LUIS ALVES;PTB;PTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001648816;Válido;2040602022;122;3701453
MA;7;Deputado Estadual;11013;GLEICIANNE DA SILVA NOGUEIRA;GLEICIANNE NOGUEIRA;PP;PP;1;Suplente;2022-10-03 03:11:03;MA;100001608095;Válido;2040602022;119;3701453
MA;7;Deputado Estadual;50200;RAIMUNDO SILVA;ARU SANFONEIRO;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001725385;Válido;2040602022;119;3701453
MA;7;Deputado Estadual;55027;MARIA DANIELE GOMES DA SILVA;DANY GOMES;PSD;PSD;1;Suplente;2022-10-03 03:11:03;MA;100001607103;Válido;2040602022;117;3701453
MA;7;Deputado Estadual;35567;JOSE FERNANDO DA SILVA;FERNANDO SILVA LOCUTOR;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689718;Válido;2040602022;116;3701453
MA;7;Deputado Estadual;20246;MARIA BALBINA DOS INOCENTES PEREIRA;BALBINA;PSC;PSC;1;Suplente;2022-10-03 03:11:03;MA;100001620088;Válido;2040602022;116;3701453
MA;7;Deputado Estadual;28070;RAIMUNDA MARTILENE DA CONCEIÇÃO DE ALMEIDA;MARTILENE ALMEIDA;PRTB;PRTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001675689;Válido;2040602022;116;3701453
MA;7;Deputado Estadual;35123;MARIA DALVA DURANS MATOS;DALVA MATOS;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689727;Válido;2040602022;115;3701453
MA;7;Deputado Estadual;90100;MARIA ZENILDE ARAUJO;LOIRA DO SALÃO;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599570;Válido;2040602022;115;3701453
MA;7;Deputado Estadual;36856;ADELINO DE DEUS CARVALHO FILHO;ADELINO DE DEUS;AGIR;AGIR;1;Não Eleito;2022-10-03 03:11:03;MA;100001689578;Válido;2040602022;113;3701453
MA;7;Deputado Estadual;90121;NEWTON BARBOSA DA CONCEICAO;BARBOSINHA;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599554;Válido;2040602022;111;3701453
MA;7;Deputado Estadual;36852;RICARDO LOPES DE SOUSA;RICARDO LOPES;AGIR;AGIR;1;Não Eleito;2022-10-03 03:11:03;MA;100001689574;Válido;2040602022;110;3701453
